"postage",": the fee for postal service : adhesive stamps or printed indicia representing postal fees"
"reactionary",": relating to, marked by, or favoring reaction : ultraconservative in politics"
"reactions",": the act or process or an instance of reacting : resistance or opposition to a force, influence, or movement : tendency toward a former and usually outmoded political or social order or policy : a response to some treatment, situation, or stimulus : such a response expressed verbally : bodily response to or activity aroused by a stimulus: : an action induced by vital resistance to another action : the response of tissues to a foreign substance (such as an antigen or infectious agent) : depression or exhaustion due to excessive exertion or stimulation : heightened activity and overaction succeeding depression or shock : a mental or emotional disorder forming an individual's response to his or her life situation : the force that a body subjected to the action of a force from another body exerts in the opposite direction : chemical transformation or change : the interaction of chemical entities : the state resulting from such a reaction : a process involving change in atomic nuclei"
"reactive",": of, relating to, or marked by reaction or reactance : readily responsive to a stimulus : occurring as a result of stress or emotional upset"
"reactor",": one that reacts : a device (such as a coil, winding, or conductor of small resistance) used to introduce reactance into an alternating-current circuit : a vat for an industrial chemical reaction : a device for the controlled release of nuclear energy (as for producing heat)"
"reactors",": one that reacts : a device (such as a coil, winding, or conductor of small resistance) used to introduce reactance into an alternating-current circuit : a vat for an industrial chemical reaction : a device for the controlled release of nuclear energy (as for producing heat)"
"reacts",": to exert a reciprocal or counteracting force or influence : to change in response to a stimulus : to act in opposition to a force or influence : to move or tend in a reverse direction : to undergo chemical reaction"
"read",": to receive or take in the sense of (letters, symbols, etc.) especially by sight or touch : to study the movements of with mental formulation of the communication expressed : to utter aloud the printed or written words of : to learn from what one has seen or found in writing or printing : to deliver aloud by or as if by reading : to utter interpretively : to become acquainted with or look over the contents of (something, such as a book) : to make a study of : to read the works of : to check (something, such as copy or proof) for errors : to receive and understand (a voice message) by radio : UNDERSTAND, COMPREHEND : to interpret the meaning or significance of : FORETELL, PREDICT : to recognize or interpret as if by reading: such as : to learn the nature of by observing outward expression or signs : to note the action or characteristics of in order to anticipate what will happen : to predict the movement of (a putt) by reading a green : to anticipate by observation of an opponent's position or movement : to attribute a meaning to (something read) : INTERPRET : to attribute (a meaning) to something read or considered : to use as a substitute for or in preference to another word or phrase in a particular passage, text, or version : INDICATE : to interpret (a musical work) in performance : to acquire (information) from storage : to sense the meaning of (data) in recorded and coded form : to read the coded information on (something, such as a CD)"
"readable",": able to be read easily: such as : LEGIBLE : interesting to read"
"reader",": one that reads : one appointed to read to others: such as : LECTOR : one chosen to read aloud selected material in a Christian Science church or society : PROOFREADER : one who evaluates manuscripts : one who reads periodical literature to discover items of special interest or value : an employee who reads and records the indications of meters : a teacher's assistant who reads and marks student papers : one who reads lectures or expounds subjects to students : a device for projecting a readable image of a transparency : an electronic device that scans coded information (as on punch cards or bar codes) for storage or computation : a book for instruction and practice especially in reading : ANTHOLOGY : eyeglasses used for reading or close work : READING GLASSES"
"readers","Definition not found"
"readership","Definition not found"
"readily","Definition not found"
"readiness","Definition not found"
"reading","Definition not found"
"readings","Definition not found"
"reads","Definition not found"
"ready","Definition not found"
"reaffirmed","Definition not found"
"real","Definition not found"
"realisation","Definition not found"
"realise","Definition not found"
"realised","Definition not found"
"realises","Definition not found"
"realising","Definition not found"
"realism",": concern for fact or reality and rejection of the impractical and visionary : a doctrine that universals exist outside the mind : the conception that an abstract term names an independent and unitary reality : a theory that objects of sense perception or cognition exist independently of the mind
compare NOMINALISM : the theory or practice of fidelity in art and literature to nature or to real life and to accurate representation without idealization"
"realist",": a person who recognizes what is real or possible in a particular situation : one who accepts and deals with things as they really are : a person (such as a writer or painter) who adheres to a style of realism by representing things in a way faithful to nature or to real life"
"realistic",": of, relating to, or marked by literary or artistic realism : accurately representing what is natural or real : convincingly rendered to appear natural : able to see things as they really are and to deal with them in a practical way : based on what is real rather than on what is wanted or hoped for : not impractical or visionary"
"realistically",": of, relating to, or marked by literary or artistic realism : accurately representing what is natural or real : convincingly rendered to appear natural : able to see things as they really are and to deal with them in a practical way : based on what is real rather than on what is wanted or hoped for : not impractical or visionary"
"realities",": the quality or state of being real : a real event, entity, or state of affairs : the totality of real things and events : something that is neither derivative nor dependent but exists necessarily : television programming that features people (especially people who are not professional actors) dealing with real-life situations or participating in contrived activities (such as competitions)"
"reality",": the quality or state of being real : a real event, entity, or state of affairs : the totality of real things and events : something that is neither derivative nor dependent but exists necessarily : television programming that features people (especially people who are not professional actors) dealing with real-life situations or participating in contrived activities (such as competitions)"
"realization",": the action of realizing : the state of being realized : something realized"
"realize",": to bring into concrete existence : ACCOMPLISH : to cause to seem real : make appear real : to convert into actual money : to bring or get by sale, investment, or effort : GAIN : to conceive vividly as real : be fully aware of"
"realized",": to bring into concrete existence : ACCOMPLISH : to cause to seem real : make appear real : to convert into actual money : to bring or get by sale, investment, or effort : GAIN : to conceive vividly as real : be fully aware of"
"realizes",": to bring into concrete existence : ACCOMPLISH : to cause to seem real : make appear real : to convert into actual money : to bring or get by sale, investment, or effort : GAIN : to conceive vividly as real : be fully aware of"
"realizing",": to bring into concrete existence : ACCOMPLISH : to cause to seem real : make appear real : to convert into actual money : to bring or get by sale, investment, or effort : GAIN : to conceive vividly as real : be fully aware of"
"really",": in reality : ACTUALLY : TRULY, UNQUESTIONABLY : VERY sense 1"
"realm",": KINGDOM sense 3 : SPHERE, DOMAIN : a primary marine or terrestrial biogeographic division of the earth's surface"
"realms",": KINGDOM sense 3 : SPHERE, DOMAIN : a primary marine or terrestrial biogeographic division of the earth's surface"
"realty",": REAL ESTATE sense 1"
"reap",": to cut with a sickle, scythe, or reaping machine : to clear of a crop by reaping : to gather by reaping : HARVEST : OBTAIN, WIN"
"reaper",": one that reaps : any of various machines for reaping grain"
"reappear",": to come back into view or show up for a second or subsequent time : to appear again"
"rear",": to erect by building : CONSTRUCT : to raise upright : to breed and raise (an animal) for use or market : to bring to maturity or self-sufficiency usually through nurturing care : to cause (plants) to grow : to cause (a horse) to rise up on the hind legs"
"reared",": to erect by building : CONSTRUCT : to raise upright : to breed and raise (an animal) for use or market : to bring to maturity or self-sufficiency usually through nurturing care : to cause (plants) to grow : to cause (a horse) to rise up on the hind legs"
"rearing",": to erect by building : CONSTRUCT : to raise upright : to breed and raise (an animal) for use or market : to bring to maturity or self-sufficiency usually through nurturing care : to cause (plants) to grow : to cause (a horse) to rise up on the hind legs"
"rearm",": to arm (a nation, a military force, etc.) again with new or better weapons"
"rearrange",": to arrange (something or someone) again in a different way"
"reason",": a statement offered in explanation or justification : a rational ground or motive : the thing that makes some fact intelligible : CAUSE : a sufficient ground of explanation or of logical defense : something (such as a principle or law) that supports a conclusion or explains a fact : the power of comprehending, inferring, or thinking especially in orderly rational ways : INTELLIGENCE : proper exercise of the mind : SANITY : the sum of the intellectual powers : treatment that affords satisfaction"
"reasonable",": being in accordance with reason : not extreme or excessive : MODERATE, FAIR : INEXPENSIVE : having the faculty of reason : possessing sound judgment"
"reasonably",": being in accordance with reason : not extreme or excessive : MODERATE, FAIR : INEXPENSIVE : having the faculty of reason : possessing sound judgment"
"reasoned",": a statement offered in explanation or justification : a rational ground or motive : the thing that makes some fact intelligible : CAUSE : a sufficient ground of explanation or of logical defense : something (such as a principle or law) that supports a conclusion or explains a fact : the power of comprehending, inferring, or thinking especially in orderly rational ways : INTELLIGENCE : proper exercise of the mind : SANITY : the sum of the intellectual powers : treatment that affords satisfaction"
"reasoning",": the use of reason : the drawing of inferences or conclusions through the use of reason : an instance of the use of reason : ARGUMENT"
"reasons",": a statement offered in explanation or justification : a rational ground or motive : the thing that makes some fact intelligible : CAUSE : a sufficient ground of explanation or of logical defense : something (such as a principle or law) that supports a conclusion or explains a fact : the power of comprehending, inferring, or thinking especially in orderly rational ways : INTELLIGENCE : proper exercise of the mind : SANITY : the sum of the intellectual powers : treatment that affords satisfaction"
"reassurance",": the action of reassuring : the state of being reassured : REINSURANCE"
"reassure",": to assure anew : to restore to confidence : REINSURE"
"reassured",": to assure anew : to restore to confidence : REINSURE"
"reassuring",": restoring or intended to restore confidence : reducing or eliminating worry or uncertainty"
"rebar",": a steel rod with ridges for use in reinforced concrete"
"rebate",": to reduce the force or activity of : DIMINISH : to reduce the sharpness of : BLUNT : to make a rebate of : to give a rebate to"
"rebates",": to reduce the force or activity of : DIMINISH : to reduce the sharpness of : BLUNT : to make a rebate of : to give a rebate to"
"rebel",": opposing or taking arms against a government or ruler : of or relating to rebels : DISOBEDIENT, REBELLIOUS"
"rebellion",": opposition to one in authority or dominance : open, armed, and usually unsuccessful defiance of or resistance to an established government : an instance of such defiance or resistance"
"rebellious",": given to or engaged in rebellion : of, relating to, or characteristic of a rebel or rebellion : resisting treatment or management : REFRACTORY"
"rebels",": opposing or taking arms against a government or ruler : of or relating to rebels : DISOBEDIENT, REBELLIOUS"
"rebirth",": a new or second birth : METEMPSYCHOSIS : spiritual regeneration : RENAISSANCE, REVIVAL"
"reboot",": to shut down and restart (a computer or program) : to start up again after closing or shutting down : to boot up again : to start (something) anew : to refresh (something) by making a new start or creating a new version : to start anew : to make a fresh start"
"reborn",": born again : REGENERATED, REVIVED"
"rebound",": to spring back on or as if on collision or impact with another body : to recover from setback or frustration : REECHO : to gain possession of a rebound in basketball"
"rebounds",": to spring back on or as if on collision or impact with another body : to recover from setback or frustration : REECHO : to gain possession of a rebound in basketball"
"rebuild",": to make extensive repairs to : RECONSTRUCT : to restore to a previous state : to make extensive changes in : REMODEL"
"rebuilding",": to make extensive repairs to : RECONSTRUCT : to restore to a previous state : to make extensive changes in : REMODEL"
"rebuilt",": to make extensive repairs to : RECONSTRUCT : to restore to a previous state : to make extensive changes in : REMODEL"
"rebuke",": to criticize sharply : REPRIMAND : to serve as a rebuke to : to turn back or keep down : CHECK"
"rebus",": a representation of words or syllables by pictures of objects or by symbols whose names resemble the intended words or syllables in sound : a riddle made up of such pictures or symbols"
"rebut",": to drive or beat back : REPEL : to contradict or oppose by formal legal argument, plea, or countervailing proof : to expose the falsity of : REFUTE"
"rebuttal",": the act of rebutting especially in a legal suit : argument or proof that rebuts"
"recall",": CANCEL, REVOKE : to call back : to bring back to mind : to remind one of : RESEMBLE : RESTORE, REVIVE"
"recalled",": CANCEL, REVOKE : to call back : to bring back to mind : to remind one of : RESEMBLE : RESTORE, REVIVE"
"recalling",": CANCEL, REVOKE : to call back : to bring back to mind : to remind one of : RESEMBLE : RESTORE, REVIVE"
"recalls",": CANCEL, REVOKE : to call back : to bring back to mind : to remind one of : RESEMBLE : RESTORE, REVIVE"
"recap",": RECAPITULATION"
"recapture",": the act of retaking : an instance of being retaken : the retaking of a prize or goods under international law : a government seizure under law of earnings or profits beyond a fixed amount"
"receipt",": a writing acknowledging the receiving of goods or money : PROOF, EVIDENCE : the act or process of receiving : something received : RECIPE : RECEPTACLE : a revenue office"
"receipts",": a writing acknowledging the receiving of goods or money : PROOF, EVIDENCE : the act or process of receiving : something received : RECIPE : RECEPTACLE : a revenue office"
"receive",": to come into possession of : ACQUIRE : to act as a receptacle or container for : to assimilate through the mind or senses : to permit to enter : ADMIT : WELCOME, GREET : to react to in a specified manner : to accept as authoritative, true, or accurate : BELIEVE : to support the weight or pressure of : BEAR : to take (a mark or impression) from the weight of something : ACQUIRE, EXPERIENCE : to suffer the hurt or injury of"
"received",": generally accepted : COMMON"
"receiver",": one that receives: such as : TREASURER : a person appointed to hold in trust and administer property under litigation : a person appointed to settle the affairs of a business involving a public interest or to manage a corporation during reorganization : one that receives stolen goods : FENCE : a device for converting signals (such as electromagnetic waves) into audio or visual form: such as : a device in a telephone for converting electric impulses or varying current into sound : a radio receiver with a tuner and amplifier on one chassis : CATCHER : a member of the offensive team in football eligible to catch a forward pass"
"receivers",": one that receives: such as : TREASURER : a person appointed to hold in trust and administer property under litigation : a person appointed to settle the affairs of a business involving a public interest or to manage a corporation during reorganization : one that receives stolen goods : FENCE : a device for converting signals (such as electromagnetic waves) into audio or visual form: such as : a device in a telephone for converting electric impulses or varying current into sound : a radio receiver with a tuner and amplifier on one chassis : CATCHER : a member of the offensive team in football eligible to catch a forward pass"
"receives",": to come into possession of : ACQUIRE : to act as a receptacle or container for : to assimilate through the mind or senses : to permit to enter : ADMIT : WELCOME, GREET : to react to in a specified manner : to accept as authoritative, true, or accurate : BELIEVE : to support the weight or pressure of : BEAR : to take (a mark or impression) from the weight of something : ACQUIRE, EXPERIENCE : to suffer the hurt or injury of"
"receiving",": to come into possession of : ACQUIRE : to act as a receptacle or container for : to assimilate through the mind or senses : to permit to enter : ADMIT : WELCOME, GREET : to react to in a specified manner : to accept as authoritative, true, or accurate : BELIEVE : to support the weight or pressure of : BEAR : to take (a mark or impression) from the weight of something : ACQUIRE, EXPERIENCE : to suffer the hurt or injury of"
"recent",": having lately come into existence : NEW, FRESH : of or relating to a time not long past : HOLOCENE"
"recently",": during a recent period of time : LATELY"
"reception",": the act or action or an instance of receiving: such as : RECEIPT : ADMISSION : RESPONSE, REACTION : the receiving of a radio or television broadcast : the catching of a forward pass by a receiver : a social gathering often for the purpose of extending a formal welcome"
"receptionist",": a person employed to greet telephone callers, visitors, patients, or clients"
"receptions",": the act or action or an instance of receiving: such as : RECEIPT : ADMISSION : RESPONSE, REACTION : the receiving of a radio or television broadcast : the catching of a forward pass by a receiver : a social gathering often for the purpose of extending a formal welcome"
"receptive",": able or inclined to receive : open and responsive to ideas, impressions, or suggestions : fit to receive and transmit stimuli : SENSORY : willing to copulate with a male"
"receptor",": RECEIVER: such as : a cell or group of cells that receives stimuli : SENSE ORGAN : a chemical group or molecule (such as a protein) on the cell surface or in the cell interior that has an affinity for a specific chemical group, molecule, or virus"
"receptors",": RECEIVER: such as : a cell or group of cells that receives stimuli : SENSE ORGAN : a chemical group or molecule (such as a protein) on the cell surface or in the cell interior that has an affinity for a specific chemical group, molecule, or virus"
"recess",": the action of receding : RECESSION entry 1 : a hidden, secret, or secluded place or part : INDENTATION, CLEFT : ALCOVE : a suspension of business or procedure often for rest or relaxation"
"recession",": the act or action of receding : WITHDRAWAL : a period of significantly reduced general economic activity that is marked especially by declines in employment and production and that lasts more than a few months compare DEPRESSION sense 2a : a departing procession (as of clergy and choir at the end of a church service)"
"recharge","Definition not found"
"recipe","Definition not found"
"recipes","Definition not found"
"recipient",": one that receives : RECEIVER"
"recipients",": one that receives : RECEIVER"
"reciprocal",": inversely related : OPPOSITE : of, constituting, or resulting from paired crosses in which the kind that supplies the male parent of the first cross supplies the female parent of the second cross and vice versa : shared, felt, or shown by both sides : serving to reciprocate : consisting of or functioning as a return in kind : mutually corresponding : marked by or based on reciprocity"
"reciprocity",": the quality or state of being reciprocal : mutual dependence, action, or influence : a mutual exchange of privileges : a recognition by one of two countries or institutions of the validity of licenses or privileges granted by the other"
"recital",": a detailed account : ENUMERATION : the act or process or an instance of reciting : DISCOURSE, NARRATION : a concert given by an individual musician or dancer or by a dance troupe : a public exhibition of skill given by music or dance pupils"
"recite",": to repeat from memory or read aloud publicly : to relate in full : to give a recital of : DETAIL : to repeat or answer questions about (a lesson)"
"recited",": to repeat from memory or read aloud publicly : to relate in full : to give a recital of : DETAIL : to repeat or answer questions about (a lesson)"
"reciting",": to repeat from memory or read aloud publicly : to relate in full : to give a recital of : DETAIL : to repeat or answer questions about (a lesson)"
"reckless",": marked by lack of proper caution : careless of consequences : IRRESPONSIBLE"
"reckon",": COUNT : ESTIMATE, COMPUTE : to determine by reference to a fixed basis : to regard or think of as : CONSIDER : THINK, SUPPOSE"
"reckoned",": COUNT : ESTIMATE, COMPUTE : to determine by reference to a fixed basis : to regard or think of as : CONSIDER : THINK, SUPPOSE"
"reckoning",": the act or an instance of reckoning: such as : ACCOUNT, BILL : COMPUTATION : calculation of a ship's position : a settling of accounts : a summing up"
"reclaim",": to recall from wrong or improper conduct : REFORM : TAME, SUBDUE : to rescue from an undesirable state : to restore to a previous natural state : to make available for human use by changing natural conditions : to obtain from a waste product or by-product : RECOVER : to demand or obtain the return of : to regain possession of"
"reclaimed",": to recall from wrong or improper conduct : REFORM : TAME, SUBDUE : to rescue from an undesirable state : to restore to a previous natural state : to make available for human use by changing natural conditions : to obtain from a waste product or by-product : RECOVER : to demand or obtain the return of : to regain possession of"
"reclaiming",": to recall from wrong or improper conduct : REFORM : TAME, SUBDUE : to rescue from an undesirable state : to restore to a previous natural state : to make available for human use by changing natural conditions : to obtain from a waste product or by-product : RECOVER : to demand or obtain the return of : to regain possession of"
"reclamation",": the act or process of reclaiming: such as : REFORMATION, REHABILITATION : restoration to use : RECOVERY"
"recognise","Definition not found"
"recognised","Definition not found"
"recognises","Definition not found"
"recognising","Definition not found"
"recognition","Definition not found"
"recognizable","Definition not found"
"recognize","Definition not found"
"recognized","Definition not found"
"recognizes","Definition not found"
"recognizing","Definition not found"
"recoil","Definition not found"
"recollection","Definition not found"
"recollections","Definition not found"
"recommend","Definition not found"
"recommendation","Definition not found"
"recommendations","Definition not found"
"recommended",": introduced or mentioned as being fit or worthy"
"recommending",": to present (something) as worthy of acceptance or trial : to endorse (someone) as fit, worthy, or competent : to suggest (an act or course of action) as advisable : to make (someone or something) acceptable or attractive : ENTRUST, COMMIT"
"recommends",": to present (something) as worthy of acceptance or trial : to endorse (someone) as fit, worthy, or competent : to suggest (an act or course of action) as advisable : to make (someone or something) acceptable or attractive : ENTRUST, COMMIT"
"recon",": RECONNAISSANCE"
"reconcile",": to restore to friendship or harmony : SETTLE, RESOLVE : to make consistent or congruous : to cause to submit to or accept something unpleasant : to check (a financial account) against another for accuracy : to account for"
"reconciled",": to restore to friendship or harmony : SETTLE, RESOLVE : to make consistent or congruous : to cause to submit to or accept something unpleasant : to check (a financial account) against another for accuracy : to account for"
"reconciliation",": the action of reconciling : the state of being reconciled : the Roman Catholic sacrament of penance : a legislative process that enables expedited passage of a bill relating to certain matters in the federal budget by a simple majority of votes"
"reconnaissance",": a preliminary survey to gain information : an exploratory military survey of enemy territory"
"reconnect",": to connect again"
"reconsider",": to consider again especially with a view to changing or reversing"
"reconstruct",": to construct again: such as : to build or assemble (something) again : to subject (an organ or part) to surgery to re-form its structure or correct a defect : to re-create or reimagine (something from the past) especially by using information acquired through research : to create an accurate reenactment or understanding of (a past occurrence or event, such as an accident) by applying scientific principles and techniques to physical evidence"
"reconstructed",": to construct again: such as : to build or assemble (something) again : to subject (an organ or part) to surgery to re-form its structure or correct a defect : to re-create or reimagine (something from the past) especially by using information acquired through research : to create an accurate reenactment or understanding of (a past occurrence or event, such as an accident) by applying scientific principles and techniques to physical evidence"
"reconstruction",": the action of reconstructing : the act or process of rebuilding, repairing, or restoring something : the period from 1865 to 1877 in which the southern states that had seceded during the American Civil War rejoined the United States : repair of an organ or body part by reconstructive surgery : the re-creation or reimagining of something from the past especially by using information acquired through research : a technical process by which scientific principles and techniques are applied to physical evidence in order to create an accurate reenactment or understanding of a past occurrence or event (such as an accident)"
"record",": to set down in writing : furnish written evidence of : to deposit an authentic official copy of : to state for or as if for the record : to register permanently by mechanical means : INDICATE, READ : to give evidence of : to cause (sound, visual images, data, etc.) to be registered on something (such as a disc or magnetic tape) in reproducible form"
"recorded",": to set down in writing : furnish written evidence of : to deposit an authentic official copy of : to state for or as if for the record : to register permanently by mechanical means : INDICATE, READ : to give evidence of : to cause (sound, visual images, data, etc.) to be registered on something (such as a disc or magnetic tape) in reproducible form"
"recorder",": the chief judicial magistrate of some British cities and boroughs : a municipal judge with criminal jurisdiction of first instance and sometimes limited civil jurisdiction : one that records : any of a group of wind instruments ranging from soprano to bass that are characterized by a conical tube, a whistle mouthpiece, and eight finger holes"
"recorders",": the chief judicial magistrate of some British cities and boroughs : a municipal judge with criminal jurisdiction of first instance and sometimes limited civil jurisdiction : one that records : any of a group of wind instruments ranging from soprano to bass that are characterized by a conical tube, a whistle mouthpiece, and eight finger holes"
"recording",": the process of recording something : something that has been recorded : a sequence of sounds or visual images stored in or played from a reproducible form : something (such as a vinyl record or a digital file) on or in which a recording is stored : RECORD entry 2 sense 4"
"recordings",": the process of recording something : something that has been recorded : a sequence of sounds or visual images stored in or played from a reproducible form : something (such as a vinyl record or a digital file) on or in which a recording is stored : RECORD entry 2 sense 4"
"records",": to set down in writing : furnish written evidence of : to deposit an authentic official copy of : to state for or as if for the record : to register permanently by mechanical means : INDICATE, READ : to give evidence of : to cause (sound, visual images, data, etc.) to be registered on something (such as a disc or magnetic tape) in reproducible form"
"recount",": to relate in detail : NARRATE"
"recounted",": to relate in detail : NARRATE"
"recounts",": to relate in detail : NARRATE"
"recourse",": a turning to someone or something for help or protection : a source of help or strength : RESORT : the right to demand payment from the maker or endorser of a negotiable instrument (such as a check)"
"recover",": to get back : REGAIN : to bring back to normal position or condition : RESCUE : to make up for : to gain by legal process : REACH : to find or identify again : to obtain from an ore, a waste product, or a by-product : to save from loss and restore to usefulness : RECLAIM"
"recovered",": to get back : REGAIN : to bring back to normal position or condition : RESCUE : to make up for : to gain by legal process : REACH : to find or identify again : to obtain from an ore, a waste product, or a by-product : to save from loss and restore to usefulness : RECLAIM"
"recoveries",": the act, process, or an instance of recovering : an economic upturn (as after a depression) : the process of combating a disorder (such as alcoholism) or a real or perceived problem"
"recovering",": being in the process of overcoming a disorder or shortcoming"
"recovers",": to get back : REGAIN : to bring back to normal position or condition : RESCUE : to make up for : to gain by legal process : REACH : to find or identify again : to obtain from an ore, a waste product, or a by-product : to save from loss and restore to usefulness : RECLAIM"
"recovery",": the act, process, or an instance of recovering : an economic upturn (as after a depression) : the process of combating a disorder (such as alcoholism) or a real or perceived problem"
"recreate",": to give new life or freshness to : REFRESH"
"recreated",": to give new life or freshness to : REFRESH"
"recreating",": to give new life or freshness to : REFRESH"
"recreation",": refreshment of strength and spirits after work : a means of refreshment or diversion : HOBBY"
"recreational",": of, relating to, or characteristic of recreation : of or relating to recreational drugs or their use"
"recruit",": to fill up the number of with new members : REINFORCE : to enlist as a member of an armed service : to increase or maintain the number of : to secure the services of : ENGAGE, HIRE : to seek to enroll : REPLENISH : to restore or increase the health, vigor, or intensity of"
"recruited",": to fill up the number of with new members : REINFORCE : to enlist as a member of an armed service : to increase or maintain the number of : to secure the services of : ENGAGE, HIRE : to seek to enroll : REPLENISH : to restore or increase the health, vigor, or intensity of"
"recruiter",": to fill up the number of with new members : REINFORCE : to enlist as a member of an armed service : to increase or maintain the number of : to secure the services of : ENGAGE, HIRE : to seek to enroll : REPLENISH : to restore or increase the health, vigor, or intensity of"
"recruiters",": to fill up the number of with new members : REINFORCE : to enlist as a member of an armed service : to increase or maintain the number of : to secure the services of : ENGAGE, HIRE : to seek to enroll : REPLENISH : to restore or increase the health, vigor, or intensity of"
"recruiting",": to fill up the number of with new members : REINFORCE : to enlist as a member of an armed service : to increase or maintain the number of : to secure the services of : ENGAGE, HIRE : to seek to enroll : REPLENISH : to restore or increase the health, vigor, or intensity of"
"recruitment",": the action or process of recruiting : the process of adding new individuals to a population or subpopulation (as of breeding or legally catchable individuals) by growth, reproduction, immigration, and stocking : a measure (as in numbers or biomass) of recruitment"
"recruits",": to fill up the number of with new members : REINFORCE : to enlist as a member of an armed service : to increase or maintain the number of : to secure the services of : ENGAGE, HIRE : to seek to enroll : REPLENISH : to restore or increase the health, vigor, or intensity of"
"rectangle",": a parallelogram all of whose angles are right angles : one with adjacent sides of unequal length"
"rectangular",": shaped like a rectangle : crossing, lying, or meeting at a right angle : having edges, surfaces, or faces that meet at right angles : having faces or surfaces shaped like rectangles"
"rectify",": to set right : REMEDY : to purify especially by repeated or fractional distillation : to correct by removing errors : ADJUST : to make (an alternating current) unidirectional"
"rector",": one that directs : LEADER : a member of the clergy (as of the Protestant Episcopal Church) in charge of a parish : an incumbent of a Church of England benefice in full possession of its rights : a Roman Catholic priest directing a church with no pastor or one whose pastor has other duties : the head of a university or school"
"recur",": to have recourse : RESORT : to go back in thought or discourse : to come up again for consideration : to come again to mind : to occur again after an interval : occur time after time"
"recurrence",": a new occurrence of something that happened or appeared before : a repeated occurrence"
"recurrent",": running or turning back in a direction opposite to a former course : returning or happening time after time"
"recurring",": occurring repeatedly : happening or appearing multiple times"
"recut",": to cut again : to edit anew"
"recycle",": to pass again through a series of changes or treatments: such as : to process (something, such as liquid body waste, glass, or cans) in order to regain material for human use : RECOVER sense 6 : to reuse or make (a substance) available for reuse for biological activities through natural processes of biochemical degradation or modification : to adapt to a new use : ALTER : to bring back : REUSE : to make ready for reuse : to reuse (money) by investing especially in an area or enterprise that will allow the investment to return as new profits"
"recycled",": to pass again through a series of changes or treatments: such as : to process (something, such as liquid body waste, glass, or cans) in order to regain material for human use : RECOVER sense 6 : to reuse or make (a substance) available for reuse for biological activities through natural processes of biochemical degradation or modification : to adapt to a new use : ALTER : to bring back : REUSE : to make ready for reuse : to reuse (money) by investing especially in an area or enterprise that will allow the investment to return as new profits"
"recycling",": to pass again through a series of changes or treatments: such as : to process (something, such as liquid body waste, glass, or cans) in order to regain material for human use : RECOVER sense 6 : to reuse or make (a substance) available for reuse for biological activities through natural processes of biochemical degradation or modification : to adapt to a new use : ALTER : to bring back : REUSE : to make ready for reuse : to reuse (money) by investing especially in an area or enterprise that will allow the investment to return as new profits"
"red",": of the color red : having red as a distinguishing color : flushed especially with anger or embarrassment : RUDDY, FLORID : being or having skin tinged with red due to inflammation : being or having skin of a coppery hue : BLOODSHOT : being in the color range between a moderate orange and russet or bay : tinged with red : REDDISH : heated to redness : GLOWING : inciting or endorsing radical social or political change especially by force : COMMUNIST : of or relating to a communist country and especially to the former Soviet Union : tending to support Republican candidates or policies compare BLUE sense 9, PURPLE sense 3"
"redacted",": edited especially in order to obscure or remove sensitive information"
"redding","city on the Sacramento River in northern California population 89,861"
"reddish",": tinged with red"
"redeem",": to buy back : REPURCHASE : to get or win back : to free from what distresses or harms: such as : to free from captivity by payment of ransom : to extricate from or help to overcome something detrimental : to release from blame or debt : CLEAR : to free from the consequences of sin : to change for the better : REFORM : REPAIR, RESTORE : to free from a lien by payment of an amount secured thereby : to remove the obligation of by payment : to exchange for something of value : to make good : FULFILL : to atone for : EXPIATE : to offset the bad effect of : to make worthwhile : RETRIEVE"
"redeemed",": to buy back : REPURCHASE : to get or win back : to free from what distresses or harms: such as : to free from captivity by payment of ransom : to extricate from or help to overcome something detrimental : to release from blame or debt : CLEAR : to free from the consequences of sin : to change for the better : REFORM : REPAIR, RESTORE : to free from a lien by payment of an amount secured thereby : to remove the obligation of by payment : to exchange for something of value : to make good : FULFILL : to atone for : EXPIATE : to offset the bad effect of : to make worthwhile : RETRIEVE"
"redeemer",": a person who redeems : JESUS"
"redeeming",": serving to offset or compensate for a defect"
"redefine",": to define (something, such as a concept) again : REFORMULATE : to reexamine or reevaluate especially with a view to change : TRANSFORM sense 1c"
"redemption",": the act, process, or an instance of redeeming"
"redesign",": to revise in appearance, function, or content"
"redesigned",": to revise in appearance, function, or content"
"redevelopment",": the act or process of redeveloping : renovation of a blighted area"
"redhead",": a person having red hair : a North American duck (Aythya americana) resembling the related canvasback but having a shorter bill with a black tip and in the male a brighter reddish head"
"redirect",": to change the course or direction of"
"redirected",": to change the course or direction of"
"redistribution",": to alter the distribution of : REALLOCATE : to spread to other areas"
"redneck",": a white member of the Southern rural laboring class : a person whose behavior and opinions are similar to those attributed to rednecks"
"redo",": to do over or again : REDECORATE"
"redress",": to set right : REMEDY : to make up for : COMPENSATE : to remove the cause of (a grievance or complaint) : to exact reparation for : AVENGE : to requite (a person) for a wrong or loss : HEAL"
"reds",": of the color red : having red as a distinguishing color : flushed especially with anger or embarrassment : RUDDY, FLORID : being or having skin tinged with red due to inflammation : being or having skin of a coppery hue : BLOODSHOT : being in the color range between a moderate orange and russet or bay : tinged with red : REDDISH : heated to redness : GLOWING : inciting or endorsing radical social or political change especially by force : COMMUNIST : of or relating to a communist country and especially to the former Soviet Union : tending to support Republican candidates or policies compare BLUE sense 9, PURPLE sense 3"
