"spectacular",": of, relating to, or being a spectacle : STRIKING, SENSATIONAL"
"tackled","Definition not found"
"tackles","Definition not found"
"tackling","Definition not found"
"tacky","Definition not found"
"taco","Definition not found"
"tacos","Definition not found"
"tact","Definition not found"
"tactic","Definition not found"
"tactical","Definition not found"
"tactics","Definition not found"
"tactile","Definition not found"
"tad",": a small or insignificant amount or degree : BIT : a small child : BOY"
"tae","Definition not found"
"taffy",": a boiled candy usually of sugar, molasses or corn syrup, butter, and often vinegar and vanilla that is pulled until porous and glossy : insincere flattery"
"tag",": a loose hanging piece of cloth : TATTER : a metal or plastic binding on an end of a shoelace : a piece of hanging or attached material : a loop, knot, or tassel on a garment : a brief quotation used for rhetorical emphasis or sententious effect : a recurrent or characteristic verbal expression : TAGLINE sense 2 : a cardboard, plastic, or metal marker used for identification or classification : a descriptive or identifying epithet : something used for identification or location : FLAG : LABEL sense 1d : PRICE TAG : an element of code in a computer document used especially to control format and layout or to establish a hyperlink : HASHTAG : a string of text (such as the symbol @ followed by a person's username) that is used to tag a person or account in a social media post : a detached fragmentary piece : BIT : a graffito in the form of an identifying name or symbol"
"tagged",": a loose hanging piece of cloth : TATTER : a metal or plastic binding on an end of a shoelace : a piece of hanging or attached material : a loop, knot, or tassel on a garment : a brief quotation used for rhetorical emphasis or sententious effect : a recurrent or characteristic verbal expression : TAGLINE sense 2 : a cardboard, plastic, or metal marker used for identification or classification : a descriptive or identifying epithet : something used for identification or location : FLAG : LABEL sense 1d : PRICE TAG : an element of code in a computer document used especially to control format and layout or to establish a hyperlink : HASHTAG : a string of text (such as the symbol @ followed by a person's username) that is used to tag a person or account in a social media post : a detached fragmentary piece : BIT : a graffito in the form of an identifying name or symbol"
"tagging",": a loose hanging piece of cloth : TATTER : a metal or plastic binding on an end of a shoelace : a piece of hanging or attached material : a loop, knot, or tassel on a garment : a brief quotation used for rhetorical emphasis or sententious effect : a recurrent or characteristic verbal expression : TAGLINE sense 2 : a cardboard, plastic, or metal marker used for identification or classification : a descriptive or identifying epithet : something used for identification or location : FLAG : LABEL sense 1d : PRICE TAG : an element of code in a computer document used especially to control format and layout or to establish a hyperlink : HASHTAG : a string of text (such as the symbol @ followed by a person's username) that is used to tag a person or account in a social media post : a detached fragmentary piece : BIT : a graffito in the form of an identifying name or symbol"
"tagline",": a reiterated phrase identified with an individual, group, or product : SLOGAN : a final line (as in a play or joke) : one that serves to clarify a point or create a dramatic effect"
"tags",": a loose hanging piece of cloth : TATTER : a metal or plastic binding on an end of a shoelace : a piece of hanging or attached material : a loop, knot, or tassel on a garment : a brief quotation used for rhetorical emphasis or sententious effect : a recurrent or characteristic verbal expression : TAGLINE sense 2 : a cardboard, plastic, or metal marker used for identification or classification : a descriptive or identifying epithet : something used for identification or location : FLAG : LABEL sense 1d : PRICE TAG : an element of code in a computer document used especially to control format and layout or to establish a hyperlink : HASHTAG : a string of text (such as the symbol @ followed by a person's username) that is used to tag a person or account in a social media post : a detached fragmentary piece : BIT : a graffito in the form of an identifying name or symbol"
"tail",": the rear end or a process or prolongation of the rear end of the body of an animal : something resembling an animal's tail in shape or position: such as : a luminous stream of particles, gases, or ions extending from a comet especially in the antisolar direction : the rear part of an airplane consisting usually of horizontal and vertical stabilizing surfaces with attached control surfaces : the reverse of a coin : TAILCOAT : full evening dress for men : a location immediately or not far behind : one (such as a detective) who follows or keeps watch on someone : BUTTOCKS, BUTT : SEXUAL INTERCOURSE : RETINUE : the back, last, lower, or inferior part of something : TAILING sense 1 : the blank space at the bottom of a page"
"tailed",": the rear end or a process or prolongation of the rear end of the body of an animal : something resembling an animal's tail in shape or position: such as : a luminous stream of particles, gases, or ions extending from a comet especially in the antisolar direction : the rear part of an airplane consisting usually of horizontal and vertical stabilizing surfaces with attached control surfaces : the reverse of a coin : TAILCOAT : full evening dress for men : a location immediately or not far behind : one (such as a detective) who follows or keeps watch on someone : BUTTOCKS, BUTT : SEXUAL INTERCOURSE : RETINUE : the back, last, lower, or inferior part of something : TAILING sense 1 : the blank space at the bottom of a page"
"tailgate",": a board or gate at the rear of a vehicle that can be removed or let down (as for loading) : a jazz trombone style marked by much use of slides to and from long sustained tones : TAILGATE PARTY"
"tailor",": a person whose occupation is making or altering garments (such as suits, jackets, and dresses) typically to fit a particular person"
"tailored",": fashioned or fitted to resemble a tailor's work : CUSTOM-MADE : having the look of one fitted by a custom tailor"
"tailoring",": the business or occupation of a tailor : the work or workmanship of a tailor : the making or adapting of something to suit a particular purpose"
"tails",": the rear end or a process or prolongation of the rear end of the body of an animal : something resembling an animal's tail in shape or position: such as : a luminous stream of particles, gases, or ions extending from a comet especially in the antisolar direction : the rear part of an airplane consisting usually of horizontal and vertical stabilizing surfaces with attached control surfaces : the reverse of a coin : TAILCOAT : full evening dress for men : a location immediately or not far behind : one (such as a detective) who follows or keeps watch on someone : BUTTOCKS, BUTT : SEXUAL INTERCOURSE : RETINUE : the back, last, lower, or inferior part of something : TAILING sense 1 : the blank space at the bottom of a page"
"taint",": to contaminate morally : CORRUPT : to affect with putrefaction : SPOIL : to touch or affect slightly with something bad"
"tainted",": altered from a pure state or condition: such as : contaminated by or as if by dirt, impurities, or harmful organisms : corrupted morally or ethically : damaged or spoiled by alteration from a correct or original state or form"
"taj",": a cap worn in Muslim countries : a tall cone-shaped cap worn by dervishes"
"take",": to get into one's hands or into one's possession, power, or control: such as : to seize or capture physically : to get possession of (fish or game) by killing or capturing : to move against (an opponent's piece, as in chess) and remove from play : to win in a card game : to acquire by eminent domain : GRASP, GRIP : to catch or attack through the effect of a sudden force or influence : to catch or come upon in a particular situation or action : to gain the approval or liking of : CAPTIVATE, DELIGHT : to receive into one's body (as by swallowing, drinking, or inhaling) : to put oneself into (sun, air, water, etc.) for pleasure or physical benefit : to partake of : EAT : to bring or receive into a relation or connection : to copulate with : to transfer into one's own keeping: : APPROPRIATE : to obtain or secure for use (as by lease, subscription, or purchase) : ASSUME : to enter into or undertake the duties of : to move onto or into : move into position on : to bind oneself by : to make (a decision) especially with finality or authority : to impose upon oneself : to adopt as one's own : to align or ally oneself with : to assume as if rightfully one's own or as if granted : to accept the burden or consequences of : to have or assume as a proper part of or accompaniment to itself : to secure by winning in competition : DEFEAT : to pick out : CHOOSE, SELECT : to adopt, choose, or avail oneself of for use: such as : to have recourse to as an instrument for doing something : to use as a means of transportation or progression : to have recourse to for safety or refuge : to go along, into, or through : to proceed to occupy : to use up (space, time, etc.) : NEED, REQUIRE : to obtain by deriving from a source : DRAW : to obtain as the result of a special procedure : ASCERTAIN : to get in or as if in writing : to get by drawing or painting or by photography : to get by transference from one surface to another : to receive or accept whether willingly or reluctantly : such as : to submit to : ENDURE : WITHSTAND : SUFFER : to accept as true : BELIEVE : FOLLOW : to accept or regard with the mind in a specified way : to indulge in and enjoy : to receive or accept as a return (as in payment, compensation, or reparation) : to accept in a usually professional relationship : to refrain from hitting at (a pitched ball) : to let in : ADMIT : ACCOMMODATE : to be affected injuriously by (something, such as a disease) : CONTRACT : to be seized by : to absorb or become impregnated with (something, such as dye) : to be effectively treated by : APPREHEND, UNDERSTAND : CONSIDER, SUPPOSE : RECKON, ACCEPT : FEEL, EXPERIENCE : to lead, carry, or cause to go along to another place : to cause to move to a specified state, condition, or sphere of activity : to invite and accompany (someone) : to stop prescribing a specified regimen to : REMOVE : to put an end to (life) : to remove by death : SUBTRACT : EXACT : to undertake and make, do, or perform : to participate in : to deal with : to consider or view in a particular relation : to consider as an example : to apply oneself to the study of : to study for especially successfully : to obtain money from especially fraudulently : to pass or attempt to pass through, along, or over"
"takeaway",": a conclusion to be made based on presented facts or information : a main point or key message to be learned or understood from something experienced or observed : the first movement of the backswing in golf : TAKEOUT : an act or instance of taking possession of the ball or puck from an opposing team"
"takedown",": the action or an act of taking down : something (such as a rifle) having takedown construction"
"taken","Definition not found"
"takeoff",": a rise or leap from a surface in making a jump or flight or an ascent in an aircraft or in the launching of a rocket : an action of starting out : a rapid rise in activity, growth, or popularity : an imitation especially in the way of caricature : a spot at which one takes off : a starting point : point of departure : an action of removing something : a mechanism for transmission of the power of an engine or vehicle to operate some other mechanism"
"takeover",": the action or an act of taking over"
"taker",": to get into one's hands or into one's possession, power, or control: such as : to seize or capture physically : to get possession of (fish or game) by killing or capturing : to move against (an opponent's piece, as in chess) and remove from play : to win in a card game : to acquire by eminent domain : GRASP, GRIP : to catch or attack through the effect of a sudden force or influence : to catch or come upon in a particular situation or action : to gain the approval or liking of : CAPTIVATE, DELIGHT : to receive into one's body (as by swallowing, drinking, or inhaling) : to put oneself into (sun, air, water, etc.) for pleasure or physical benefit : to partake of : EAT : to bring or receive into a relation or connection : to copulate with : to transfer into one's own keeping: : APPROPRIATE : to obtain or secure for use (as by lease, subscription, or purchase) : ASSUME : to enter into or undertake the duties of : to move onto or into : move into position on : to bind oneself by : to make (a decision) especially with finality or authority : to impose upon oneself : to adopt as one's own : to align or ally oneself with : to assume as if rightfully one's own or as if granted : to accept the burden or consequences of : to have or assume as a proper part of or accompaniment to itself : to secure by winning in competition : DEFEAT : to pick out : CHOOSE, SELECT : to adopt, choose, or avail oneself of for use: such as : to have recourse to as an instrument for doing something : to use as a means of transportation or progression : to have recourse to for safety or refuge : to go along, into, or through : to proceed to occupy : to use up (space, time, etc.) : NEED, REQUIRE : to obtain by deriving from a source : DRAW : to obtain as the result of a special procedure : ASCERTAIN : to get in or as if in writing : to get by drawing or painting or by photography : to get by transference from one surface to another : to receive or accept whether willingly or reluctantly : such as : to submit to : ENDURE : WITHSTAND : SUFFER : to accept as true : BELIEVE : FOLLOW : to accept or regard with the mind in a specified way : to indulge in and enjoy : to receive or accept as a return (as in payment, compensation, or reparation) : to accept in a usually professional relationship : to refrain from hitting at (a pitched ball) : to let in : ADMIT : ACCOMMODATE : to be affected injuriously by (something, such as a disease) : CONTRACT : to be seized by : to absorb or become impregnated with (something, such as dye) : to be effectively treated by : APPREHEND, UNDERSTAND : CONSIDER, SUPPOSE : RECKON, ACCEPT : FEEL, EXPERIENCE : to lead, carry, or cause to go along to another place : to cause to move to a specified state, condition, or sphere of activity : to invite and accompany (someone) : to stop prescribing a specified regimen to : REMOVE : to put an end to (life) : to remove by death : SUBTRACT : EXACT : to undertake and make, do, or perform : to participate in : to deal with : to consider or view in a particular relation : to consider as an example : to apply oneself to the study of : to study for especially successfully : to obtain money from especially fraudulently : to pass or attempt to pass through, along, or over"
"takers",": to get into one's hands or into one's possession, power, or control: such as : to seize or capture physically : to get possession of (fish or game) by killing or capturing : to move against (an opponent's piece, as in chess) and remove from play : to win in a card game : to acquire by eminent domain : GRASP, GRIP : to catch or attack through the effect of a sudden force or influence : to catch or come upon in a particular situation or action : to gain the approval or liking of : CAPTIVATE, DELIGHT : to receive into one's body (as by swallowing, drinking, or inhaling) : to put oneself into (sun, air, water, etc.) for pleasure or physical benefit : to partake of : EAT : to bring or receive into a relation or connection : to copulate with : to transfer into one's own keeping: : APPROPRIATE : to obtain or secure for use (as by lease, subscription, or purchase) : ASSUME : to enter into or undertake the duties of : to move onto or into : move into position on : to bind oneself by : to make (a decision) especially with finality or authority : to impose upon oneself : to adopt as one's own : to align or ally oneself with : to assume as if rightfully one's own or as if granted : to accept the burden or consequences of : to have or assume as a proper part of or accompaniment to itself : to secure by winning in competition : DEFEAT : to pick out : CHOOSE, SELECT : to adopt, choose, or avail oneself of for use: such as : to have recourse to as an instrument for doing something : to use as a means of transportation or progression : to have recourse to for safety or refuge : to go along, into, or through : to proceed to occupy : to use up (space, time, etc.) : NEED, REQUIRE : to obtain by deriving from a source : DRAW : to obtain as the result of a special procedure : ASCERTAIN : to get in or as if in writing : to get by drawing or painting or by photography : to get by transference from one surface to another : to receive or accept whether willingly or reluctantly : such as : to submit to : ENDURE : WITHSTAND : SUFFER : to accept as true : BELIEVE : FOLLOW : to accept or regard with the mind in a specified way : to indulge in and enjoy : to receive or accept as a return (as in payment, compensation, or reparation) : to accept in a usually professional relationship : to refrain from hitting at (a pitched ball) : to let in : ADMIT : ACCOMMODATE : to be affected injuriously by (something, such as a disease) : CONTRACT : to be seized by : to absorb or become impregnated with (something, such as dye) : to be effectively treated by : APPREHEND, UNDERSTAND : CONSIDER, SUPPOSE : RECKON, ACCEPT : FEEL, EXPERIENCE : to lead, carry, or cause to go along to another place : to cause to move to a specified state, condition, or sphere of activity : to invite and accompany (someone) : to stop prescribing a specified regimen to : REMOVE : to put an end to (life) : to remove by death : SUBTRACT : EXACT : to undertake and make, do, or perform : to participate in : to deal with : to consider or view in a particular relation : to consider as an example : to apply oneself to the study of : to study for especially successfully : to obtain money from especially fraudulently : to pass or attempt to pass through, along, or over"
"takes",": to get into one's hands or into one's possession, power, or control: such as : to seize or capture physically : to get possession of (fish or game) by killing or capturing : to move against (an opponent's piece, as in chess) and remove from play : to win in a card game : to acquire by eminent domain : GRASP, GRIP : to catch or attack through the effect of a sudden force or influence : to catch or come upon in a particular situation or action : to gain the approval or liking of : CAPTIVATE, DELIGHT : to receive into one's body (as by swallowing, drinking, or inhaling) : to put oneself into (sun, air, water, etc.) for pleasure or physical benefit : to partake of : EAT : to bring or receive into a relation or connection : to copulate with : to transfer into one's own keeping: : APPROPRIATE : to obtain or secure for use (as by lease, subscription, or purchase) : ASSUME : to enter into or undertake the duties of : to move onto or into : move into position on : to bind oneself by : to make (a decision) especially with finality or authority : to impose upon oneself : to adopt as one's own : to align or ally oneself with : to assume as if rightfully one's own or as if granted : to accept the burden or consequences of : to have or assume as a proper part of or accompaniment to itself : to secure by winning in competition : DEFEAT : to pick out : CHOOSE, SELECT : to adopt, choose, or avail oneself of for use: such as : to have recourse to as an instrument for doing something : to use as a means of transportation or progression : to have recourse to for safety or refuge : to go along, into, or through : to proceed to occupy : to use up (space, time, etc.) : NEED, REQUIRE : to obtain by deriving from a source : DRAW : to obtain as the result of a special procedure : ASCERTAIN : to get in or as if in writing : to get by drawing or painting or by photography : to get by transference from one surface to another : to receive or accept whether willingly or reluctantly : such as : to submit to : ENDURE : WITHSTAND : SUFFER : to accept as true : BELIEVE : FOLLOW : to accept or regard with the mind in a specified way : to indulge in and enjoy : to receive or accept as a return (as in payment, compensation, or reparation) : to accept in a usually professional relationship : to refrain from hitting at (a pitched ball) : to let in : ADMIT : ACCOMMODATE : to be affected injuriously by (something, such as a disease) : CONTRACT : to be seized by : to absorb or become impregnated with (something, such as dye) : to be effectively treated by : APPREHEND, UNDERSTAND : CONSIDER, SUPPOSE : RECKON, ACCEPT : FEEL, EXPERIENCE : to lead, carry, or cause to go along to another place : to cause to move to a specified state, condition, or sphere of activity : to invite and accompany (someone) : to stop prescribing a specified regimen to : REMOVE : to put an end to (life) : to remove by death : SUBTRACT : EXACT : to undertake and make, do, or perform : to participate in : to deal with : to consider or view in a particular relation : to consider as an example : to apply oneself to the study of : to study for especially successfully : to obtain money from especially fraudulently : to pass or attempt to pass through, along, or over"
"takin",": a large heavily built bovid (Budorcas taxicolor) of Tibet and adjacent areas of Asia that is related to the goats and the musk ox and that has horns in both sexes arising near the midline of the head and sweeping abruptly outward and then backward and upward"
"taking",": to get into one's hands or into one's possession, power, or control: such as : to seize or capture physically : to get possession of (fish or game) by killing or capturing : to move against (an opponent's piece, as in chess) and remove from play : to win in a card game : to acquire by eminent domain : GRASP, GRIP : to catch or attack through the effect of a sudden force or influence : to catch or come upon in a particular situation or action : to gain the approval or liking of : CAPTIVATE, DELIGHT : to receive into one's body (as by swallowing, drinking, or inhaling) : to put oneself into (sun, air, water, etc.) for pleasure or physical benefit : to partake of : EAT : to bring or receive into a relation or connection : to copulate with : to transfer into one's own keeping: : APPROPRIATE : to obtain or secure for use (as by lease, subscription, or purchase) : ASSUME : to enter into or undertake the duties of : to move onto or into : move into position on : to bind oneself by : to make (a decision) especially with finality or authority : to impose upon oneself : to adopt as one's own : to align or ally oneself with : to assume as if rightfully one's own or as if granted : to accept the burden or consequences of : to have or assume as a proper part of or accompaniment to itself : to secure by winning in competition : DEFEAT : to pick out : CHOOSE, SELECT : to adopt, choose, or avail oneself of for use: such as : to have recourse to as an instrument for doing something : to use as a means of transportation or progression : to have recourse to for safety or refuge : to go along, into, or through : to proceed to occupy : to use up (space, time, etc.) : NEED, REQUIRE : to obtain by deriving from a source : DRAW : to obtain as the result of a special procedure : ASCERTAIN : to get in or as if in writing : to get by drawing or painting or by photography : to get by transference from one surface to another : to receive or accept whether willingly or reluctantly : such as : to submit to : ENDURE : WITHSTAND : SUFFER : to accept as true : BELIEVE : FOLLOW : to accept or regard with the mind in a specified way : to indulge in and enjoy : to receive or accept as a return (as in payment, compensation, or reparation) : to accept in a usually professional relationship : to refrain from hitting at (a pitched ball) : to let in : ADMIT : ACCOMMODATE : to be affected injuriously by (something, such as a disease) : CONTRACT : to be seized by : to absorb or become impregnated with (something, such as dye) : to be effectively treated by : APPREHEND, UNDERSTAND : CONSIDER, SUPPOSE : RECKON, ACCEPT : FEEL, EXPERIENCE : to lead, carry, or cause to go along to another place : to cause to move to a specified state, condition, or sphere of activity : to invite and accompany (someone) : to stop prescribing a specified regimen to : REMOVE : to put an end to (life) : to remove by death : SUBTRACT : EXACT : to undertake and make, do, or perform : to participate in : to deal with : to consider or view in a particular relation : to consider as an example : to apply oneself to the study of : to study for especially successfully : to obtain money from especially fraudulently : to pass or attempt to pass through, along, or over"
"tale",": a usually imaginative narrative of an event : STORY : an intentionally untrue report : FALSEHOOD : a series of events or facts told or presented : ACCOUNT : a report of a private or confidential matter : a libelous report or piece of gossip : COUNT, TALLY : TOTAL : DISCOURSE, TALK"
"talent",": a special often athletic, creative, or artistic aptitude : general intelligence or mental power : ABILITY : the natural endowments of a person : a person of talent or a group of persons of talent in a field or activity : any of several ancient units of weight : a unit of value equal to the value of a talent of gold or silver : a characteristic feature, aptitude, or disposition of a person or animal"
"talented",": a special often athletic, creative, or artistic aptitude : general intelligence or mental power : ABILITY : the natural endowments of a person : a person of talent or a group of persons of talent in a field or activity : any of several ancient units of weight : a unit of value equal to the value of a talent of gold or silver : a characteristic feature, aptitude, or disposition of a person or animal"
"talents",": a special often athletic, creative, or artistic aptitude : general intelligence or mental power : ABILITY : the natural endowments of a person : a person of talent or a group of persons of talent in a field or activity : any of several ancient units of weight : a unit of value equal to the value of a talent of gold or silver : a characteristic feature, aptitude, or disposition of a person or animal"
"tales",": a usually imaginative narrative of an event : STORY : an intentionally untrue report : FALSEHOOD : a series of events or facts told or presented : ACCOUNT : a report of a private or confidential matter : a libelous report or piece of gossip : COUNT, TALLY : TOTAL : DISCOURSE, TALK"
"talisman",": an object held to act as a charm to avert evil and bring good fortune : something producing apparently magical or miraculous effects"
"talk",": to express or exchange ideas by means of spoken words or sign language : CONVERSE : to convey information or communicate in any way (as with signs or sounds) : to use (a language) for conversing or communicating : SPEAK : to speak idly : PRATE : GOSSIP : to reveal secret or confidential information : to give a talk : LECTURE"
"talked",": to express or exchange ideas by means of spoken words or sign language : CONVERSE : to convey information or communicate in any way (as with signs or sounds) : to use (a language) for conversing or communicating : SPEAK : to speak idly : PRATE : GOSSIP : to reveal secret or confidential information : to give a talk : LECTURE"
"talking",": to express or exchange ideas by means of spoken words or sign language : CONVERSE : to convey information or communicate in any way (as with signs or sounds) : to use (a language) for conversing or communicating : SPEAK : to speak idly : PRATE : GOSSIP : to reveal secret or confidential information : to give a talk : LECTURE"
"talks",": to express or exchange ideas by means of spoken words or sign language : CONVERSE : to convey information or communicate in any way (as with signs or sounds) : to use (a language) for conversing or communicating : SPEAK : to speak idly : PRATE : GOSSIP : to reveal secret or confidential information : to give a talk : LECTURE"
"tall",": high in stature : of a specified height : of considerable height : long from bottom to top : of a higher growing variety or species of plant : large or formidable in amount, extent, or degree : POMPOUS, HIGH-FLOWN : highly exaggerated : INCREDIBLE, IMPROBABLE : BRAVE, COURAGEOUS"
"taller",": high in stature : of a specified height : of considerable height : long from bottom to top : of a higher growing variety or species of plant : large or formidable in amount, extent, or degree : POMPOUS, HIGH-FLOWN : highly exaggerated : INCREDIBLE, IMPROBABLE : BRAVE, COURAGEOUS"
"tallest",": high in stature : of a specified height : of considerable height : long from bottom to top : of a higher growing variety or species of plant : large or formidable in amount, extent, or degree : POMPOUS, HIGH-FLOWN : highly exaggerated : INCREDIBLE, IMPROBABLE : BRAVE, COURAGEOUS"
"tally",": a recorded reckoning or account (as of items or charges) : a score or point made (as in a game) : a device (such as a notched rod or mechanical counter) for visibly recording or accounting especially business transactions : a part that corresponds to an opposite or companion member : COMPLEMENT : a state of correspondence or agreement"
"talon",": the claw of an animal and especially of a bird of prey : a finger or hand of a human being : a part or object shaped like or suggestive of a heel or claw: such as : an ogee molding : the shoulder of the bolt of a lock on which the key acts to shoot the bolt : cards laid aside in a pile in solitaire : STOCK sense 5c"
"tam",": TAM-O'-SHANTER"
"tamara",": a powdered mixture of cinnamon, cloves, and coriander, anise, and fennel seeds used as a condiment especially in Italy"
"tame",": reduced from a state of native wildness especially so as to be tractable and useful to humans : DOMESTICATED : made docile and submissive : SUBDUED : lacking spirit, zest, interest, or the capacity to excite : INSIPID"
"tamed",": reduced from a state of native wildness especially so as to be tractable and useful to humans : DOMESTICATED : made docile and submissive : SUBDUED : lacking spirit, zest, interest, or the capacity to excite : INSIPID"
"tamer",": reduced from a state of native wildness especially so as to be tractable and useful to humans : DOMESTICATED : made docile and submissive : SUBDUED : lacking spirit, zest, interest, or the capacity to excite : INSIPID"
"tammy",": a plain-woven often glazed cloth of fine worsted or woolen and cotton formerly used for dresses, curtains, and linings"
"tampering",": to interfere so as to weaken or change for the worse : to try foolish or dangerous experiments : to render something harmful or dangerous by altering its structure or composition : to carry on underhand or improper negotiations (as by bribery) : to inflict physical harm, threats, intimidation, or corrupt persuasion with the goal of influencing or preventing a witness's testimony : to engage in witness tampering"
"tampons",": a wad of absorbent material (as of cotton) introduced into a body cavity or canal usually to absorb secretions (as from menstruation) or to arrest hemorrhaging"
"tan",": to make (skin) tan especially by exposure to the sun : to convert (hide) into leather by treatment with an infusion of tannin-rich bark or other agent of similar effect : to convert (protein) to leather or a similar substance : THRASH, WHIP"
"tandem",": TANDEM BICYCLE : a 2-seated carriage drawn by horses harnessed one before the other : a team so harnessed : a vehicle (such as a motortruck) having close-coupled pairs of axles : a group of two or more arranged one behind the other or used or acting in conjunction"
"tang",": a sharp distinctive often lingering flavor : a pungent odor : something having the effect of a tang (as in stimulation of the senses) : a faint suggestion : TRACE : a distinguishing characteristic that sets apart or gives a special individuality : a projecting shank, prong, fang, or tongue (as on a knife, file, or sword) to connect with the handle : any of various surgeonfishes
compare BLUE TANG"
"tangent",": an abrupt change of course : DIGRESSION : the trigonometric function that for an acute angle is the ratio between the leg opposite to the angle when it is considered part of a right triangle and the leg adjacent : a trigonometric function that is equal to the sine divided by the cosine for all real numbers θ for which the cosine is not equal to zero and is exactly equal to the tangent of an angle of measure θ in radians : a line that is tangent : a straight line that is the limiting position of a secant of a curve through a fixed point and a variable point on the curve as the variable point approaches the fixed point : a small upright flat-ended metal pin at the inner end of a clavichord key that strikes the string to produce the tone"
"tangible",": capable of being perceived especially by the sense of touch : PALPABLE : substantially real : MATERIAL : capable of being precisely identified or realized by the mind : capable of being appraised at an actual or approximate value"
"tangle",": to unite or knit together in intricate confusion : to involve so as to hamper, obstruct, or embarrass : to seize and hold in or as if in a snare : ENTRAP"
"tangled",": existing in or giving the appearance of a state of utter disorder : very involved : exceedingly complex"
"tango",": a ballroom dance of Latin American origin in ²/₄ time with a basic pattern of step-step-step-step-close and characterized by long pauses and stylized body positions : the music for this dance : interaction marked by a lack of straightforwardness"
"tangy",": having or suggestive of a tang"
"tank",": a usually large receptacle for holding, transporting, or storing liquids (such as water or fuel) : an enclosed heavily armed and armored combat vehicle that moves on tracks : TANK TOP : POND, POOL : one built as a water supply : a prison cell or enclosure used especially for receiving prisoners"
"tanker",": a cargo ship fitted with tanks for carrying liquid in bulk : a vehicle on which a tank is mounted to carry fluids : a cargo airplane for transporting fuel : a member of a military tank crew"
"tankers",": a cargo ship fitted with tanks for carrying liquid in bulk : a vehicle on which a tank is mounted to carry fluids : a cargo airplane for transporting fuel : a member of a military tank crew"
"tanks",": a usually large receptacle for holding, transporting, or storing liquids (such as water or fuel) : an enclosed heavily armed and armored combat vehicle that moves on tracks : TANK TOP : POND, POOL : one built as a water supply : a prison cell or enclosure used especially for receiving prisoners"
"tanned",": to make (skin) tan especially by exposure to the sun : to convert (hide) into leather by treatment with an infusion of tannin-rich bark or other agent of similar effect : to convert (protein) to leather or a similar substance : THRASH, WHIP"
"tanner",": one that tans hides : one who acquires or seeks to acquire a suntan : a cosmetic product that when applied to the skin reacts chemically with its surface layer to give the appearance of a suntan : SELF TANNER"
"tanning",": a browning of the skin especially by exposure to sun : the art or process by which a skin is tanned : a sound spanking : a natural darkening and hardening of the cuticle of an insect immediately after molting"
"tantrum",": a fit of bad temper"
"tanya","Definition not found"
"tap",": to strike lightly especially with a slight sound : to give a light blow with : to bring about by repeated light blows : to repair by putting a tap on : SELECT, DESIGNATE : to elect to membership (as in a fraternity)"
"tape",": a narrow flexible strip or band: such as : ADHESIVE TAPE : MAGNETIC TAPE : CASSETTE sense 2b : TAPE RECORDING : a string or ribbon stretched breast-high above the finish line of a race : a narrow woven fabric"
"taped",": a narrow flexible strip or band: such as : ADHESIVE TAPE : MAGNETIC TAPE : CASSETTE sense 2b : TAPE RECORDING : a string or ribbon stretched breast-high above the finish line of a race : a narrow woven fabric"
"taper",": to become progressively smaller toward one end : to diminish gradually"
"tapered",": to become progressively smaller toward one end : to diminish gradually"
"tapering",": to become progressively smaller toward one end : to diminish gradually"
"tapes",": a narrow flexible strip or band: such as : ADHESIVE TAPE : MAGNETIC TAPE : CASSETTE sense 2b : TAPE RECORDING : a string or ribbon stretched breast-high above the finish line of a race : a narrow woven fabric"
"tapestry",": a heavy handwoven reversible textile used for hangings, curtains, and upholstery and characterized by complicated pictorial designs : a nonreversible imitation of tapestry used chiefly for upholstery : embroidery on canvas resembling woven tapestry : something resembling tapestry (as in complexity or richness of design)"
"taping",": a narrow flexible strip or band: such as : ADHESIVE TAPE : MAGNETIC TAPE : CASSETTE sense 2b : TAPE RECORDING : a string or ribbon stretched breast-high above the finish line of a race : a narrow woven fabric"
"tapir",": any of a genus (Tapirus) of herbivorous chiefly nocturnal perissodactyl mammals of tropical America and southeastern Asia from Myanmar to Sumatra that have a heavy sparsely hairy body and the snout and upper lip prolonged into a short flexible proboscis"
"tapped",": to strike lightly especially with a slight sound : to give a light blow with : to bring about by repeated light blows : to repair by putting a tap on : SELECT, DESIGNATE : to elect to membership (as in a fraternity)"
"tapping",": the act, process, or means by which something is tapped"
"taps",": the last bugle call at night blown as a signal that lights are to be put out : a similar call blown at military funerals and memorial services"
"tar",": a dark brown or black bituminous usually odorous viscous liquid obtained by destructive distillation of organic material (such as wood, coal, or peat) : a substance in some respects resembling tar : a condensable residue present in smoke from burning tobacco that contains combustion by-products (such as resins, acids, phenols, and essential oils) : SAILOR"
"tardy",": moving slowly : SLUGGISH : delayed beyond the expected or proper time : LATE"
"target",": a mark to shoot at : a target marked by shots fired at it : something or someone fired at or marked for attack : a goal to be achieved : an object of ridicule or criticism : something or someone to be affected by an action or development : a person against whom a federal prosecutor has substantial evidence of involvement in criminal activity and who the prosecutor believes is likely to be indicted by a grand jury : the metallic surface (as of platinum or tungsten) upon which the stream of electrons within an X-ray tube is focused and from which the X-rays are emitted : a body, surface, or material bombarded with nuclear particles or electrons : fluorescent material on which desired visual effects are produced in electronic devices (as in radar) : a small round shield"
